Vocabulario,Nota1,Nota2,Nota3,Nota4,Nota5
"nice",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"hotel",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"expensive",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"parking",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"good",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"deal",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"stay",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"anniversary",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"arrived",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"late",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"evening",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"took",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"advice",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"previous",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"reviews",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"valet",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"check",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"quick",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"easy",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"little",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"disappointed",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"non-existent",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"view",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"room",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"clean",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"size",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
